word,definition,example,prompt_image_guideline,vocabulary_type,revision,target_revision
Petrichor,The meaning or concept represented by the word Petrichor,This is an example sentence using the word Petrichor,A simple minimalist illustration representing the concept of Petrichor in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Defenestration,The meaning or concept represented by the word Defenestration,This is an example sentence using the word Defenestration,A simple minimalist illustration representing the concept of Defenestration in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Crepuscular,The meaning or concept represented by the word Crepuscular,This is an example sentence using the word Crepuscular,A simple minimalist illustration representing the concept of Crepuscular in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Gossamer,The meaning or concept represented by the word Gossamer,This is an example sentence using the word Gossamer,A simple minimalist illustration representing the concept of Gossamer in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Phosphenes,The meaning or concept represented by the word Phosphenes,This is an example sentence using the word Phosphenes,A simple minimalist illustration representing the concept of Phosphenes in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Pareidolia,The meaning or concept represented by the word Pareidolia,This is an example sentence using the word Pareidolia,A simple minimalist illustration representing the concept of Pareidolia in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Murmuration,The meaning or concept represented by the word Murmuration,This is an example sentence using the word Murmuration,A simple minimalist illustration representing the concept of Murmuration in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Ferrule,The meaning or concept represented by the word Ferrule,This is an example sentence using the word Ferrule,A simple minimalist illustration representing the concept of Ferrule in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Aglet,The meaning or concept represented by the word Aglet,This is an example sentence using the word Aglet,A simple minimalist illustration representing the concept of Aglet in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
Berm,The meaning or concept represented by the word Berm,This is an example sentence using the word Berm,A simple minimalist illustration representing the concept of Berm in educational cartoon style for vocabulary learning,GeneralEnglish,1,5
