word,definition,example,prompt_image_guideline,vocabulary_type,revision,target_revision
Petrichor,"The pleasant earthy smell that occurs when rain falls on dry soil; often described as nature's perfume","After the summer drought; the petrichor from the first rainfall was incredibly refreshing","A large close-up of raindrops splashing onto cracked dry earth with dark wet soil spreading; centered in frame",GeneralEnglish,1,5
Defenestration,"The act of throwing someone or something out of a window; historically used to describe political assassinations in Prague","The angry mob threatened defenestration of the corrupt official from the tower window","A large medieval stone tower window with wooden shutters open; centered and filling most of the frame",GeneralEnglish,1,5
Crepuscular,"Relating to twilight; active during the dim light of dawn and dusk rather than full day or night","Deer are crepuscular animals; feeding primarily during the soft light of early morning and evening","A large orange and purple sunset sky with a single silhouette of a deer; centered and prominent",GeneralEnglish,1,5
Gossamer,"Extremely fine; light; and delicate texture; like a spider web or thin fabric","The bride wore a gossamer veil that floated behind her like a cloud","A large dew-covered spider web suspended between two branches; centered and filling the frame with morning light",GeneralEnglish,1,5
Phosphenes,"The phenomenon of seeing light; stars; or colors when rubbing your eyes or without actual light entering them","When I pressed my palms against my eyelids; colorful phosphenes danced across my vision","A large close-up of closed eyelids with glowing swirling light patterns visible through the skin; centered",GeneralEnglish,1,5
Pareidolia,"The tendency to perceive familiar patterns or faces in random or ambiguous stimuli like clouds or rock formations","She experienced pareidolia when she saw a face in the random swirls of her coffee foam","A large fluffy white cloud shaped distinctly like a human face; centered against blue sky",GeneralEnglish,1,5
Murmuration,"The synchronized flocking behavior of birds; especially starlings; creating swirling patterns in the sky","We watched in awe as the murmuration of starlings formed shifting shapes against the sunset","A large dense flock of black birds forming a swirling spiral pattern; centered and dominating the sky",GeneralEnglish,1,5
Ferrule,"The metal band or cap that strengthens the end of a handle; brush; or tool; holding bristles or wood in place","The painter dipped his brush; checking that the ferrule held the bristles firmly in place","A large close-up of a paintbrush metal band clamping colorful bristles; centered and detailed",GeneralEnglish,1,5
Aglet,"The small plastic or metal sheath at the end of a shoelace that prevents fraying and makes threading easy","The aglet broke off my shoelace; making it impossible to thread through the tiny eyelet","A large extreme close-up of a plastic shoelace tip showing its cylindrical shape; centered in frame",GeneralEnglish,1,5
Berm,"A level strip of ground at the top or bottom of a slope; or a narrow path or ledge","The cyclist rode along the grassy berm beside the highway to avoid the busy traffic","A large raised flat strip of green grass between a road and a steep hill; centered and prominent",GeneralEnglish,1,5
