word,definition,example,prompt_image_guideline,vocabulary_type,revision,target_revision
Petrichor,The pleasant earthy smell that occurs after rain; the scent produced when rain falls on dry soil,I love the petrichor that fills the air after a summer storm,Large raindrops falling onto cracked dry brown earth filling the entire frame; water droplets shown mid-splash on soil surface; warm brown tones; close-up view; minimalist style; no text,GeneralEnglish,1,5
Defenestration,The act of throwing someone or something out of a window; removal from a position of power,The defenestration of Prague in 1618 sparked a major conflict,Large open window frame centered in view with a wooden chair shown flying outward through it; motion lines indicating movement; warm brown window frame; simple cartoon style; no text,GeneralEnglish,1,5
Crepuscular,Active during twilight hours; relating to dawn or dusk; dim or shadowy,Many animals like rabbits and deer are crepuscular; most active at dawn and dusk,Large rabbit silhouette centered against a glowing orange and purple twilight sky; half-sun visible on horizon behind the rabbit; warm gradient colors; simple flat illustration; no text,GeneralEnglish,1,5
Gossamer,Something very light; delicate; or flimsy; like a fine spider web or thin fabric,The gossamer threads of the spider web glistened with morning dew,Large detailed spider web filling the entire frame; delicate silver threads with dewdrops catching light; centered symmetrical web pattern; warm beige background; minimalist illustration; no text,GeneralEnglish,1,5
Phosphenes,The luminous patterns or spots you see when you close your eyes and press on them; light sensations without light entering the eye,When I rub my eyes; I see colorful phosphenes dancing in the darkness,Large closed eye centered in frame with colorful swirling dots and light bursts radiating from it; abstract light patterns in warm colors; simple cartoon style; close-up view; no text,GeneralEnglish,1,5
Pareidolia,The tendency to see familiar patterns or faces in random objects; like seeing animals in clouds,Seeing a face in the front of a car is an example of pareidolia,Large puffy cloud filling the frame with two dark spots resembling eyes and curved shape resembling a smiling mouth; warm beige and white tones; centered composition; minimalist cartoon style; no text,GeneralEnglish,1,5
Murmuration,A flock of starlings flying in coordinated patterns; the act of murmuring or making soft sounds,The murmuration of thousands of starlings created beautiful shapes in the sky,Large flowing wave pattern made of hundreds of small black bird silhouettes filling the entire frame; birds forming a sweeping S-curve shape; warm orange sky background; dynamic movement; no text,GeneralEnglish,1,5
Ferrule,The metal or plastic band that strengthens the end of a tool handle; the protective cap on a cane or umbrella,The ferrule on my pencil prevents the eraser from falling off,Large yellow pencil shown at an angle with metallic band and pink eraser at the top filling most of the frame; ferrule clearly visible as silver band; warm colors; simple cartoon style; no text,GeneralEnglish,1,5
Aglet,The small plastic or metal tube covering the end of a shoelace; prevents fraying and aids threading,Without the aglet; shoelaces would quickly unravel and be hard to thread,Large shoelace tip filling the entire frame showing the plastic cylindrical aglet cap in detail; frayed threads visible next to it for contrast; warm brown and beige colors; close-up macro view; no text,GeneralEnglish,1,5
Berm,A flat strip of land; raised bank; or terrace bordering a river or canal; a ledge or shoulder along a road,We sat on the grassy berm beside the highway to rest,Large cross-section view of raised earthen bank with grass on top filling the frame; road visible on one side; gentle sloped sides; warm brown earth and green grass; simple diagram style; no text,GeneralEnglish,1,5
